Quantum 0
Routers, LOCAL, EAST, WEST, NORTH, SOUTH0
Router 0,44,260,0,52,13
Router 1,13,195,0,52,0
Router 2,13,130,0,52,0
Router 3,13,65,0,52,0
Router 4,13,0,0,52,0
Router 5,13,0,0,39,0
Router 6,13,0,0,39,0
Router 7,13,0,0,39,0
Router 8,13,0,0,39,0
Router 9,13,0,0,39,0
Router 10,13,0,0,26,0
Router 11,13,0,0,26,0
Router 12,13,0,0,26,0
Router 13,13,0,0,26,0
Router 14,13,0,0,26,0
Router 15,13,0,0,13,0
Router 16,13,0,0,13,0
Router 17,13,0,0,13,0
Router 18,13,0,0,13,0
Router 19,13,0,0,13,0
Router 20,13,0,0,0,0
Router 21,13,0,0,0,0
Router 22,13,0,0,0,0
Router 23,13,0,0,0,0
Router 24,13,0,0,0,0
Quantum 1
Routers, LOCAL, EAST, WEST, NORTH, SOUTH1
Router 0,127,0,0,0,0
Router 1,0,0,0,0,0
Router 2,0,0,0,0,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,0,0,0,0,0
Router 6,0,0,0,0,0
Router 7,0,0,0,0,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
Router 10,0,0,0,0,0
Router 11,0,0,0,0,0
Router 12,0,0,0,0,0
Router 13,0,0,0,0,0
Router 14,0,0,0,0,0
Router 15,0,0,0,0,0
Router 16,0,0,0,0,0
Router 17,0,0,0,0,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,0
Router 21,0,0,0,0,0
Router 22,0,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 2
Routers, LOCAL, EAST, WEST, NORTH, SOUTH2
Router 0,0,0,0,0,0
Router 1,0,0,0,0,0
Router 2,0,0,0,0,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,0,0,0,0,0
Router 6,0,0,0,0,0
Router 7,0,0,0,0,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
Router 10,0,0,0,0,0
Router 11,0,0,0,0,0
Router 12,0,0,0,0,0
Router 13,0,0,0,0,0
Router 14,0,0,0,0,0
Router 15,0,0,0,0,0
Router 16,0,0,0,0,0
Router 17,0,0,0,0,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,0
Router 21,0,0,0,0,0
Router 22,0,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 3
Routers, LOCAL, EAST, WEST, NORTH, SOUTH3
Router 0,0,0,0,0,0
Router 1,0,0,0,0,0
Router 2,0,0,0,0,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,0,0,0,0,0
Router 6,0,0,0,0,0
Router 7,0,0,0,0,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
Router 10,0,0,0,0,0
Router 11,0,0,0,0,0
Router 12,0,0,0,0,0
Router 13,0,0,0,0,0
Router 14,0,0,0,0,0
Router 15,0,0,0,0,0
Router 16,0,0,0,0,0
Router 17,0,0,0,0,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,0
Router 21,0,0,0,0,0
Router 22,0,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 4
Routers, LOCAL, EAST, WEST, NORTH, SOUTH4
Router 0,0,0,0,0,0
Router 1,0,0,0,0,0
Router 2,0,0,0,0,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,0,0,0,0,0
Router 6,0,0,0,0,0
Router 7,0,0,0,0,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
Router 10,0,0,0,0,0
Router 11,0,0,0,0,0
Router 12,0,0,0,0,0
Router 13,0,0,0,0,0
Router 14,0,0,0,0,0
Router 15,0,0,0,0,0
Router 16,0,0,0,0,0
Router 17,0,0,0,0,0
Router 18,0,0,0,0,0
Router 19,0,0,0,0,0
Router 20,0,0,0,0,0
Router 21,0,0,0,0,0
Router 22,0,0,0,0,0
Router 23,0,0,0,0,0
Router 24,0,0,0,0,0
Quantum 5
Routers, LOCAL, EAST, WEST, NORTH, SOUTH5
Router 0,0,0,0,0,0
Router 1,0,0,0,0,0
Router 2,0,0,0,0,0
Router 3,0,0,0,0,0
Router 4,0,0,0,0,0
Router 5,0,0,0,0,0
Router 6,0,0,0,0,0
Router 7,0,0,0,0,0
Router 8,0,0,0,0,0
Router 9,0,0,0,0,0
