Quantum 1
Routers, LOCAL, EAST, WEST, NORTH, SOUTH
Router 0, 13, 312, 0, 91, 0
Router 1, 13, 203, 0, 91, 0
Router 2, 13, 97, 0, 91, 0
Router 3, 13, 0, 0, 80, 0
Router 4, 0, 0, 0, 0, 0
Router 5, 0, 0, 0, 0, 0
Router 6, 0, 0, 0, 0, 0
Router 7, 0, 0, 0, 0, 0
Router 8, 13, 0, 0, 78, 0
Router 9, 13, 0, 0, 78, 0
Router 10, 13, 0, 0, 78, 0
Router 11, 13, 0, 0, 65, 0
Router 12, 0, 0, 0, 0, 0
Router 13, 0, 0, 0, 0, 0
Router 14, 0, 0, 0, 0, 0
Router 15, 0, 0, 0, 0, 0
Router 16, 13, 0, 0, 65, 0
Router 17, 13, 0, 0, 65, 0
Router 18, 13, 0, 0, 65, 0
Router 19, 13, 0, 0, 52, 0
Router 20, 0, 0, 0, 0, 0
Router 21, 0, 0, 0, 0, 0
Router 22, 0, 0, 0, 0, 0
Router 23, 0, 0, 0, 0, 0
Router 24, 13, 0, 0, 52, 0
Router 25, 13, 0, 0, 52, 0
Router 26, 13, 0, 0, 52, 0
Router 27, 13, 0, 0, 39, 0
Router 28, 0, 0, 0, 0, 0
Router 29, 0, 0, 0, 0, 0
Router 30, 0, 0, 0, 0, 0
Router 31, 0, 0, 0, 0, 0
Router 32, 13, 0, 0, 39, 0
Router 33, 13, 0, 0, 39, 0
Router 34, 13, 0, 0, 39, 0
Router 35, 13, 0, 0, 26, 0
Router 36, 0, 0, 0, 0, 0
Router 37, 0, 0, 0, 0, 0
Router 38, 0, 0, 0, 0, 0
Router 39, 0, 0, 0, 0, 0
Router 40, 13, 0, 0, 26, 0
Router 41, 13, 0, 0, 26, 0
Router 42, 13, 0, 0, 26, 0
Router 43, 13, 0, 0, 13, 0
Router 44, 0, 0, 0, 0, 0
Router 45, 0, 0, 0, 0, 0
Router 46, 0, 0, 0, 0, 0
Router 47, 0, 0, 0, 0, 0
Router 48, 13, 0, 0, 13, 0
Router 49, 13, 0, 0, 13, 0
Router 50, 13, 0, 0, 13, 0
Router 51, 13, 0, 0, 0, 0
Router 52, 0, 0, 0, 0, 0
Router 53, 0, 0, 0, 0, 0
Router 54, 0, 0, 0, 0, 0
Router 55, 0, 0, 0, 0, 0
Router 56, 13, 0, 0, 0, 0
Router 57, 13, 0, 0, 0, 0
Router 58, 13, 0, 0, 0, 0
Router 59, 0, 0, 0, 0, 0
Router 60, 0, 0, 0, 0, 0
Router 61, 0, 0, 0, 0, 0
Router 62, 0, 0, 0, 0, 0
Router 63, 0, 0, 0, 0, 0
Quantum 2
Routers, LOCAL, EAST, WEST, NORTH, SOUTH
Router 0, 0, 260, 0, 0, 0
Router 1, 0, 265, 0, 0, 0
Router 2, 0, 267, 0, 0, 0
Router 3, 0, 260, 0, 11, 0
Router 4, 13, 156, 0, 91, 0
Router 5, 13, 52, 0, 91, 0
Router 6, 13, 0, 0, 39, 0
Router 7, 0, 0, 0, 0, 0
Router 8, 0, 0, 0, 0, 0
Router 9, 0, 0, 0, 0, 0
Router 10, 0, 0, 0, 0, 0
Router 11, 0, 0, 0, 13, 0
Router 12, 13, 0, 0, 78, 0
Router 13, 13, 0, 0, 78, 0
Router 14, 13, 0, 0, 26, 0
Router 15, 0, 0, 0, 0, 0
